user_id,trip_id
conductor_210,1006_11_40
conductor_211,1006_11_50
conductor_212,1006_12_00
conductor_213,1006_12_10
conductor_214,1006_12_30
conductor_215,1006_12_40
conductor_216,1006_13_00
conductor_217,1006_13_10
conductor_218,1006_13_30
conductor_219,1006_13_40
conductor_220,1006_13_50
conductor_221,1006_14_00
conductor_222,1006_14_10
conductor_223,1006_14_20
conductor_224,1006_14_30
conductor_225,1006_14_40
conductor_226,1006_14_50
conductor_227,1006_15_00
conductor_228,1006_15_10
conductor_229,1006_15_30
conductor_230,1006_15_40
conductor_231,1006_15_50
conductor_232,1006_16_00
conductor_233,1006_16_10
conductor_234,1006_16_20
conductor_235,1006_16_30
conductor_236,1006_16_40
conductor_237,1006_16_50
conductor_238,1006_17_00
conductor_239,1006_17_10
conductor_240,1006_17_20
conductor_241,1006_17_30
conductor_242,1006_17_40
conductor_243,1006_17_50
conductor_244,1006_18_00
conductor_245,1006_18_10
conductor_246,1006_18_20
conductor_247,1006_18_30
conductor_248,1006_18_40
conductor_249,1006_18_50
conductor_250,1006_19_00
conductor_251,1006_19_10
conductor_252,1006_19_20
conductor_253,1006_19_30
conductor_254,1006_19_40
conductor_255,1006_19_50
conductor_256,1006_20_10
conductor_257,1006_20_20
conductor_258,1006_20_30
conductor_259,1006_20_40
conductor_260,1006_20_50
conductor_261,1006_21_00
conductor_262,1006_21_10
conductor_263,1006_21_20
conductor_264,1006_21_30
conductor_265,1006_21_40
conductor_266,1006_21_50
conductor_267,1007_06_00
conductor_268,1007_06_10
conductor_269,1007_06_20
conductor_270,1007_06_30
conductor_271,1007_06_40
conductor_272,1007_07_00
conductor_273,1007_07_10
conductor_274,1007_07_20
conductor_275,1007_07_30
conductor_276,1007_07_40
conductor_277,1007_07_50
conductor_278,1007_08_00
conductor_279,1007_08_10
conductor_280,1007_08_20
conductor_281,1007_08_30
conductor_282,1007_09_00
conductor_283,1007_09_20
conductor_284,1007_09_30
conductor_285,1007_10_10
conductor_286,1007_10_20
conductor_287,1007_10_30
conductor_288,1007_10_40
conductor_289,1007_10_50
conductor_290,1007_11_00
conductor_291,1007_11_10
conductor_292,1007_11_20
conductor_293,1007_11_30
conductor_294,1007_11_40
conductor_295,1007_11_50
conductor_296,1007_12_10
conductor_297,1007_12_20
conductor_298,1007_12_40
conductor_299,1007_13_20
conductor_300,1007_13_30
conductor_301,1007_13_40
conductor_302,1007_13_50
conductor_303,1007_14_00
conductor_304,1007_14_10
conductor_305,1007_14_20
conductor_306,1007_14_30
conductor_307,1007_14_40
conductor_308,1007_14_50
conductor_309,1007_15_00
conductor_310,1007_15_10
conductor_311,1007_15_30
conductor_312,1007_15_40
conductor_313,1007_15_50
conductor_314,1007_16_00
conductor_315,1007_16_10
conductor_316,1007_16_20
conductor_317,1007_16_30
conductor_318,1007_17_00
conductor_319,1007_17_20
conductor_320,1007_17_30
conductor_321,1007_17_40
conductor_322,1007_17_50
conductor_323,1007_18_00
conductor_324,1007_18_10
conductor_325,1007_18_20
conductor_326,1007_18_30
conductor_327,1007_18_40
conductor_328,1007_18_50
conductor_329,1007_19_00
conductor_330,1007_19_10
conductor_331,1007_19_20
conductor_332,1007_19_30
conductor_333,1007_19_40
conductor_334,1007_19_50
conductor_335,1007_20_00
conductor_336,1007_20_10
conductor_337,1007_20_20
conductor_338,1007_20_30
conductor_339,1007_20_40
conductor_340,1007_20_50
conductor_341,1007_21_00
conductor_342,1007_21_10
conductor_343,1007_21_20
conductor_344,1007_21_40
conductor_345,1008_06_10
conductor_346,1008_07_20
conductor_347,1008_07_30
conductor_348,1008_07_40
conductor_349,1008_08_30
conductor_350,1008_08_40
conductor_351,1008_08_50
conductor_352,1008_09_00
conductor_353,1008_09_40
conductor_354,1008_09_50
conductor_355,1008_10_00
conductor_356,1008_10_30
conductor_357,1008_11_10
conductor_358,1008_11_20
conductor_359,1008_11_30
conductor_360,1008_11_40
conductor_361,1008_12_20
conductor_362,1008_13_40
conductor_363,1009_19_40
conductor_364,1009_19_50
conductor_365,1009_20_40
conductor_366,1009_20_50
conductor_367,1009_21_20
conductor_368,1009_21_40
conductor_369,1009_21_50
conductor_370,100_06_00
conductor_371,100_06_10
conductor_372,100_06_20
conductor_373,100_06_30
conductor_374,100_06_40
conductor_375,100_07_00
conductor_376,100_07_10
conductor_377,100_07_30
conductor_378,100_07_40
conductor_379,100_07_50
conductor_380,100_08_00
conductor_381,100_08_10
conductor_382,100_08_30
conductor_383,100_08_40
conductor_384,100_08_50
conductor_385,100_09_00
conductor_386,100_09_30
conductor_387,100_09_50
conductor_388,100_10_00
conductor_389,100_10_30
conductor_390,100_11_00
conductor_391,100_11_10
conductor_392,100_11_20
conductor_393,100_11_30
conductor_394,100_11_40
conductor_395,100_12_00
conductor_396,100_12_10
conductor_397,100_12_20
conductor_398,100_12_30
conductor_399,100_12_40
conductor_400,100_12_50
conductor_401,100_13_00
conductor_402,100_13_30
conductor_403,100_13_40
conductor_404,100_13_50
conductor_405,100_14_00
conductor_406,100_14_10
conductor_407,100_14_30
conductor_408,100_14_40
conductor_409,100_14_50
conductor_410,100_15_00
conductor_411,100_15_10
conductor_412,100_15_20
conductor_413,100_15_30
conductor_414,100_15_40
conductor_415,100_16_00
conductor_416,100_16_10
conductor_417,100_16_20
conductor_418,100_16_30
conductor_419,100_16_40
conductor_420,100_16_50
conductor_421,100_17_00
conductor_422,100_17_10
conductor_423,100_17_20
conductor_424,100_17_30
conductor_425,100_17_40
conductor_426,100_17_50
conductor_427,100_18_00
conductor_428,100_18_10
conductor_429,100_18_20
conductor_430,100_18_30
conductor_431,100_18_40
conductor_432,100_18_50
conductor_433,100_19_00
conductor_434,100_19_10
conductor_435,100_19_20
conductor_436,100_19_30
conductor_437,100_19_50
conductor_438,100_20_10
conductor_439,100_20_20
conductor_440,100_20_30
conductor_441,100_20_40
conductor_442,100_21_00
conductor_443,100_21_30
conductor_444,100_21_40
conductor_445,1010_06_00
conductor_446,1010_06_10
conductor_447,1010_06_20
conductor_448,1010_06_30
conductor_449,1010_06_40
conductor_450,1010_06_50
conductor_451,1010_07_00
conductor_452,1010_07_10
conductor_453,1010_07_20
conductor_454,1010_07_30
conductor_455,1010_07_40
conductor_456,1010_07_50
conductor_457,1010_08_00
conductor_458,1010_08_10
conductor_459,1010_08_20
conductor_460,1010_08_30
conductor_461,1010_08_40
conductor_462,1010_08_50
conductor_463,1010_09_00
conductor_464,1010_09_30
conductor_465,1010_09_40
conductor_466,1010_10_00
conductor_467,1013_16_50
conductor_468,1013_17_30
conductor_469,1013_17_40
conductor_470,1013_18_20
conductor_471,1014_06_00
conductor_472,1014_06_10
conductor_473,1014_06_20
conductor_474,1014_06_30
conductor_475,1014_06_40
conductor_476,1014_06_50
conductor_477,1014_07_00
conductor_478,1014_07_10
conductor_479,1014_07_20
conductor_480,1014_07_30
conductor_481,1014_07_40
conductor_482,1014_07_50
conductor_483,1014_08_00
conductor_484,1014_08_10
conductor_485,1014_08_20
conductor_486,1014_08_30
conductor_487,1014_08_40
conductor_488,1014_08_50
conductor_489,1014_09_00
conductor_490,1014_09_10
conductor_491,1014_09_20
conductor_492,1014_09_30
conductor_493,1014_09_40
conductor_494,1014_09_50
conductor_495,1014_10_00
conductor_496,1014_10_10
conductor_497,1014_10_20
conductor_498,1014_10_30
conductor_499,1014_10_40
conductor_500,1014_10_50
conductor_501,1014_11_00
conductor_502,1014_11_10
conductor_503,1014_11_20
conductor_504,1014_11_30
conductor_505,1014_11_40
conductor_506,1014_11_50
conductor_507,1014_12_00
conductor_508,1014_12_10
conductor_509,1014_12_20
conductor_510,1014_12_30
conductor_511,1014_12_40
conductor_512,1014_12_50
conductor_513,1014_13_00
conductor_514,1014_13_10
conductor_515,1014_13_20
conductor_516,1014_13_30
conductor_517,1014_13_40
conductor_518,1014_13_50
conductor_519,1014_14_00
conductor_520,1014_14_10
conductor_521,1014_14_20
conductor_522,1014_14_30
conductor_523,1014_14_40
conductor_524,1014_14_50
conductor_525,1014_15_00
conductor_526,1014_15_10
conductor_527,1014_15_20
conductor_528,1014_15_30
conductor_529,1014_15_40
conductor_530,1014_15_50
conductor_531,1014_16_00
conductor_532,1014_16_10
conductor_533,1014_16_20
conductor_534,1014_16_30
conductor_535,1014_16_40
conductor_536,1014_16_50
conductor_537,1014_17_00
conductor_538,1014_17_10
conductor_539,1014_17_20
conductor_540,1014_17_30
conductor_541,1014_17_40
conductor_542,1014_17_50
conductor_543,1014_18_00
conductor_544,1014_18_10
conductor_545,1014_18_20
conductor_546,1014_18_30
conductor_547,1014_18_40
conductor_548,1014_18_50
conductor_549,1014_19_00
conductor_550,1014_19_10
conductor_551,1014_19_20
conductor_552,1014_19_30
conductor_553,1014_19_40
conductor_554,1014_19_50
conductor_555,1014_20_00
conductor_556,1014_20_10
conductor_557,1014_20_20
conductor_558,1014_20_30
conductor_559,1014_20_40
conductor_560,1014_20_50
conductor_561,1014_21_00
conductor_562,1014_21_10
conductor_563,1014_21_20
conductor_564,1014_21_30
conductor_565,1014_21_40
conductor_566,1014_21_50
conductor_567,1015_19_20
conductor_568,1015_19_40
conductor_569,1015_20_10
conductor_570,1015_20_20
conductor_571,1015_20_30
conductor_572,1015_20_40
conductor_573,1015_20_50
conductor_574,1015_21_00
conductor_575,1015_21_10
conductor_576,1015_21_20
conductor_577,1015_21_30
conductor_578,1015_21_40
conductor_579,1015_21_50
conductor_580,1016_06_00
conductor_581,1016_06_10
conductor_582,1016_06_20
conductor_583,1016_06_30
conductor_584,1016_06_40
conductor_585,1016_06_50
conductor_586,1016_07_00
conductor_587,1016_07_10
conductor_588,1016_07_20
conductor_589,1016_07_30
conductor_590,1016_07_40
conductor_591,1016_07_50
conductor_592,1016_08_00
conductor_593,1016_08_10
conductor_594,1016_08_20
conductor_595,1016_08_30
conductor_596,1016_08_40
conductor_597,1016_08_50
conductor_598,1016_09_00
conductor_599,1016_09_10
conductor_600,1016_09_20
conductor_601,1016_09_30
conductor_602,1016_09_40
conductor_603,1016_09_50
conductor_604,1016_10_00
conductor_605,1016_10_10
conductor_606,1016_10_20
conductor_607,1016_10_30
conductor_608,1016_10_40
conductor_609,1016_10_50
conductor_610,1016_11_00
conductor_611,1016_11_10
conductor_612,1016_11_20
conductor_613,1016_11_30
conductor_614,1016_11_40
conductor_615,1016_11_50
conductor_616,1016_12_00
conductor_617,1016_12_10
conductor_618,1016_12_20
conductor_619,1016_12_30
conductor_620,1016_12_40
conductor_621,1016_12_50
conductor_622,1016_13_00
conductor_623,1016_13_10
conductor_624,1016_13_20
conductor_625,1016_13_30
conductor_626,1016_13_40
conductor_627,1016_13_50
conductor_628,1016_14_00
conductor_629,1016_14_10
conductor_630,1016_14_20
conductor_631,1016_14_30
conductor_632,1016_14_40
conductor_633,1016_14_50
conductor_634,1016_15_00
conductor_635,1016_15_10
conductor_636,1016_15_20
conductor_637,1016_15_30
conductor_638,1016_15_40
conductor_639,1016_15_50
conductor_640,1016_16_00
conductor_641,1016_16_10
conductor_642,1016_16_20
conductor_643,1016_16_30
conductor_644,1016_16_40
conductor_645,1016_16_50
conductor_646,1016_17_00
conductor_647,1016_17_10
conductor_648,1016_17_20
conductor_649,1016_17_30
conductor_650,1016_17_40
conductor_651,1016_17_50
conductor_652,1016_18_00
conductor_653,1016_18_10
conductor_654,1016_18_20
conductor_655,1016_18_30
conductor_656,1016_18_40
conductor_657,1016_18_50
conductor_658,1016_19_00
conductor_659,1016_19_10
conductor_660,1016_19_20
conductor_661,1016_19_30
conductor_662,1016_19_40
conductor_663,1016_19_50
conductor_664,1016_20_00
conductor_665,1016_20_10
conductor_666,1016_20_20
conductor_667,1016_20_30
conductor_668,1016_20_40
conductor_669,1016_20_50
conductor_670,1016_21_00
conductor_671,1016_21_30
conductor_672,1017_07_10
conductor_673,1017_07_20
conductor_674,1017_07_30
conductor_675,1017_08_00
conductor_676,1017_08_10
conductor_677,1017_08_30
conductor_678,1017_09_00
conductor_679,1017_09_10
conductor_680,1017_09_30
conductor_681,1017_09_40
conductor_682,1017_09_50
conductor_683,1017_10_10
conductor_684,1017_10_20
conductor_685,1017_10_30
conductor_686,1017_10_40
conductor_687,1017_11_10
conductor_688,1017_11_20
conductor_689,1017_11_30
conductor_690,1017_11_40
conductor_691,1017_12_00
conductor_692,1017_12_10
conductor_693,1017_12_20
conductor_694,1017_12_30
conductor_695,1017_12_40
conductor_696,1017_12_50
conductor_697,1017_13_00
conductor_698,1017_13_10
conductor_699,1017_13_20
conductor_700,1017_13_30
conductor_701,1017_13_40
conductor_702,1017_14_00
conductor_703,1017_14_10
conductor_704,1017_14_20
conductor_705,1017_14_30
conductor_706,1017_14_40
conductor_707,1017_15_20
conductor_708,1017_15_30
conductor_709,1017_15_40
conductor_710,1017_15_50
conductor_711,1017_16_20
conductor_712,1017_16_30
conductor_713,1017_16_50
conductor_714,1017_17_00
conductor_715,1017_17_20
conductor_716,1017_17_30
conductor_717,1017_17_40
conductor_718,1017_18_00
conductor_719,1017_18_30
conductor_720,1017_18_40
conductor_721,1017_18_50
conductor_722,1017_19_00
conductor_723,1017_19_10
conductor_724,1017_19_20
conductor_725,1017_19_30
conductor_726,1017_19_40
conductor_727,1017_20_10
conductor_728,1017_20_20
conductor_729,1017_20_30
conductor_730,1017_20_50
conductor_731,1017_21_00
conductor_732,1017_21_10
conductor_733,1017_21_20
conductor_734,1017_21_30
conductor_735,1017_21_40
conductor_736,1017_21_50
conductor_737,1018_07_30
conductor_738,1018_07_40
conductor_739,1018_07_50
conductor_740,1018_08_00
conductor_741,1018_08_20
conductor_742,1018_08_30
conductor_743,1018_08_40
conductor_744,1018_08_50
conductor_745,1018_09_30
conductor_746,1018_09_50
conductor_747,1018_10_10
conductor_748,1018_10_20
conductor_749,1018_10_30
conductor_750,1018_10_40
conductor_751,1018_10_50
conductor_752,1018_11_00
conductor_753,1018_11_10
conductor_754,1018_11_20
conductor_755,1018_11_30
conductor_756,1018_11_40
conductor_757,1018_12_00
conductor_758,1018_13_10
conductor_759,1018_13_20
conductor_760,1018_13_40
conductor_761,1018_13_50
conductor_762,1018_14_00
conductor_763,1018_14_20
conductor_764,1018_14_30
conductor_765,1018_14_40
conductor_766,1018_15_00
conductor_767,1018_15_10
conductor_768,1018_15_40
conductor_769,1018_16_50
conductor_770,1018_17_00
conductor_771,1018_17_10
conductor_772,1018_17_30
conductor_773,1018_17_40
conductor_774,1018_17_50
conductor_775,1018_18_00
conductor_776,1018_18_10
conductor_777,1018_18_20
conductor_778,1018_18_30
conductor_779,1018_18_40
conductor_780,1018_18_50
conductor_781,1018_19_10
conductor_782,1018_19_20
conductor_783,1018_19_30
conductor_784,1018_19_50
conductor_785,1018_20_00
conductor_786,1018_20_10
conductor_787,1018_20_20
conductor_788,1018_21_20
conductor_789,1018_21_50
conductor_790,1019_06_00
conductor_791,1019_06_10
conductor_792,1019_06_20
conductor_793,1019_06_30
conductor_794,1019_06_40
conductor_795,1019_07_00
conductor_796,1019_07_10
conductor_797,1019_07_20
conductor_798,1019_07_30
conductor_799,1019_07_40
conductor_800,1019_07_50
conductor_801,1019_08_00
conductor_802,1019_08_10
conductor_803,1019_08_20
conductor_804,1019_08_30
conductor_805,1019_08_40
conductor_806,1019_08_50
conductor_807,1019_09_00
conductor_808,1019_09_10
conductor_809,1019_09_20
conductor_810,1019_09_30
conductor_811,1019_09_50
conductor_812,1019_10_00
conductor_813,1019_10_10
conductor_814,1019_10_40
conductor_815,1019_10_50
conductor_816,1019_11_00
conductor_817,1019_11_10
conductor_818,1019_11_20
conductor_819,1019_11_30
conductor_820,1019_11_40
conductor_821,1019_11_50
conductor_822,1019_12_20
conductor_823,1019_13_20
conductor_824,1019_13_30
conductor_825,1019_13_40
conductor_826,1019_13_50
conductor_827,1019_14_00
conductor_828,1019_14_10
conductor_829,1019_14_20
conductor_830,1019_14_30
conductor_831,1019_14_40
conductor_832,1019_15_00
conductor_833,1019_15_10
conductor_834,1019_15_20
conductor_835,1019_15_40
conductor_836,1019_16_20
conductor_837,1019_16_30
conductor_838,1019_16_40
conductor_839,1019_16_50
conductor_840,1019_17_00
conductor_841,1019_17_10
conductor_842,1019_17_20
conductor_843,1019_17_40
conductor_844,1019_17_50
conductor_845,1019_18_00
conductor_846,1019_18_10
conductor_847,1019_18_20
conductor_848,1019_18_30
conductor_849,1019_18_40
conductor_850,1019_18_50
conductor_851,1019_19_00
conductor_852,1019_19_20
conductor_853,1019_19_30
conductor_854,1019_19_40
conductor_855,1019_19_50
conductor_856,1019_20_00
conductor_857,1019_20_10
conductor_858,1019_20_40
conductor_859,1019_21_10
conductor_860,1019_21_40
conductor_861,1019_21_50
conductor_862,101_07_30
conductor_863,101_08_10
conductor_864,101_08_20
conductor_865,101_09_20
conductor_866,101_09_40
conductor_867,101_10_00
conductor_868,101_10_10
conductor_869,101_10_30
conductor_870,101_10_50
conductor_871,101_11_10
conductor_872,101_11_20
conductor_873,101_11_30
conductor_874,101_12_10
conductor_875,101_12_20
conductor_876,101_12_30
conductor_877,101_12_50
conductor_878,101_13_00
conductor_879,101_13_10
conductor_880,101_13_20
conductor_881,101_13_50
conductor_882,101_14_00
conductor_883,101_14_10
conductor_884,101_14_20
conductor_885,101_14_30
conductor_886,101_14_50
conductor_887,101_15_20
conductor_888,101_15_30
conductor_889,101_15_40
conductor_890,101_15_50
conductor_891,101_16_10
conductor_892,101_16_20
conductor_893,101_16_30
conductor_894,101_16_40
conductor_895,101_16_50
conductor_896,101_17_30
conductor_897,101_17_40
conductor_898,101_17_50
conductor_899,101_18_00
conductor_900,101_18_10
conductor_901,101_18_20
conductor_902,101_18_30
conductor_903,101_19_00
conductor_904,101_19_10
conductor_905,101_19_20
conductor_906,101_19_30
conductor_907,101_19_40
conductor_908,101_20_10
conductor_909,101_20_20
conductor_910,101_20_30
conductor_911,101_20_40
conductor_912,101_21_20
conductor_913,101_21_30
conductor_914,101_21_40
conductor_915,101_21_50
conductor_916,1020_07_10
conductor_917,1020_07_20
conductor_918,1020_07_30
conductor_919,1020_07_40
conductor_920,1020_08_40
conductor_921,1020_09_00
conductor_922,1020_09_20
conductor_923,1020_09_40
conductor_924,1020_10_00
conductor_925,1020_10_20
conductor_926,1020_10_30
conductor_927,1020_10_40
conductor_928,1020_10_50
conductor_929,1020_11_00
conductor_930,1020_11_10
conductor_931,1020_11_20
conductor_932,1020_11_30
conductor_933,1020_11_40
conductor_934,1020_11_50
conductor_935,1020_12_00
conductor_936,1020_12_10
conductor_937,1020_12_20
conductor_938,1020_12_40
conductor_939,1020_12_50
conductor_940,1020_13_00
conductor_941,1020_13_20
conductor_942,1020_13_30
conductor_943,1020_14_00
conductor_944,1020_14_20
conductor_945,1020_14_40
conductor_946,1020_14_50
conductor_947,1020_15_10
conductor_948,1020_15_40
conductor_949,1020_15_50
conductor_950,1020_16_00
conductor_951,1020_16_20
conductor_952,1020_16_30
conductor_953,1020_16_40
conductor_954,1020_16_50
conductor_955,1020_17_00
conductor_956,1020_17_10
conductor_957,1020_17_20
conductor_958,1020_17_30
conductor_959,1020_17_40
conductor_960,1020_17_50
conductor_961,1020_18_00
conductor_962,1020_18_10
conductor_963,1020_18_20
conductor_964,1020_18_30
conductor_965,1020_18_40
conductor_966,1020_19_00
conductor_967,1020_19_10
conductor_968,1020_19_20
conductor_969,1020_19_30
conductor_970,1020_19_40
conductor_971,1020_20_10
conductor_972,1020_20_30
conductor_973,1020_21_10
conductor_974,1020_21_40
conductor_975,1021_07_40
conductor_976,1021_08_00
conductor_977,1021_08_10
conductor_978,1021_08_20
conductor_979,1021_08_30
conductor_980,1021_08_50
conductor_981,1021_09_00
conductor_982,1021_09_10
conductor_983,1021_09_20
conductor_984,1021_09_30
conductor_985,1021_09_40
conductor_986,1021_09_50
conductor_987,1021_10_00
conductor_988,1021_10_30
conductor_989,1021_10_50
conductor_990,1021_11_00
conductor_991,1021_11_10
conductor_992,1021_11_20
conductor_993,1021_11_30
conductor_994,1021_11_40
conductor_995,1021_11_50
conductor_996,1021_12_00
conductor_997,1021_12_10
conductor_998,1021_12_20
conductor_999,1021_12_30
conductor_1000,1021_12_40
conductor_1001,1021_12_50
conductor_1002,1021_13_00
conductor_1003,1021_13_10
conductor_1004,1021_13_20
conductor_1005,1021_13_30
conductor_1006,1021_13_40
conductor_1007,1021_13_50
conductor_1008,1021_14_00
conductor_1009,1021_15_50
conductor_1010,1021_16_20
conductor_1011,1021_16_30
conductor_1012,1021_16_40
conductor_1013,1021_16_50
conductor_1014,1021_17_00
conductor_1015,1021_17_10
conductor_1016,1021_17_20
conductor_1017,1021_17_30
conductor_1018,1021_17_50
conductor_1019,1021_18_00
conductor_1020,1021_18_10
conductor_1021,1021_18_30
conductor_1022,1021_19_40
conductor_1023,1021_19_50
conductor_1024,1021_20_00
conductor_1025,1021_20_10
conductor_1026,1021_20_20
conductor_1027,1021_20_30
conductor_1028,1021_20_40
conductor_1029,1021_21_00
conductor_1030,1021_21_10
conductor_1031,1021_21_20
conductor_1032,1021_21_30
conductor_1033,1021_21_40
conductor_1034,1021_21_50
conductor_1035,1022_09_20
conductor_1036,1022_09_30
conductor_1037,1022_10_00
conductor_1038,1022_11_00
conductor_1039,1022_11_20
conductor_1040,1022_12_10
conductor_1041,1022_12_20
conductor_1042,1022_12_30
conductor_1043,1022_12_40
conductor_1044,1022_12_50
conductor_1045,1022_14_20
conductor_1046,1022_14_50
conductor_1047,1022_17_50
conductor_1048,1022_18_00
conductor_1049,1022_18_50
conductor_1050,1022_20_30
conductor_1051,1022_20_40
conductor_1052,1022_20_50
conductor_1053,1022_21_20
conductor_1054,1023_07_30
conductor_1055,1023_07_40
conductor_1056,1023_07_50
conductor_1057,1023_08_30
conductor_1058,1023_08_40
conductor_1059,1023_09_10
conductor_1060,1023_09_30
conductor_1061,1023_10_00
conductor_1062,1023_10_20
conductor_1063,1023_11_20
conductor_1064,1023_12_00
conductor_1065,1023_12_40
conductor_1066,1023_12_50
conductor_1067,1023_13_00
conductor_1068,1023_13_10
conductor_1069,1023_14_10
conductor_1070,1023_14_20
conductor_1071,1023_14_30
conductor_1072,1023_14_40
conductor_1073,1023_15_40
conductor_1074,1023_15_50
conductor_1075,1023_16_30
conductor_1076,1023_16_50
conductor_1077,1023_17_00
conductor_1078,1023_17_10
conductor_1079,1023_17_20
conductor_1080,1023_17_30
